exp_num,launch_mode,manip_order,condition_B,condition_C,sys_time,exp_time,process_name,lure,block_index,trial_index,stim_index,duration,rt,sn,choice,confidence,note
50,1440p_flscr,1,null,null,2025-03-27_19:49:08,1292.230488399975,formal_punish_MS,punish_FA,3,1,1,0.75,1.7215290000021923,1,1,2,null
50,1440p_flscr,1,null,null,2025-03-27_19:49:15,1299.5730394999846,formal_punish_MS,punish_FA,3,2,0,0.75,2.0631717999931425,0,0,-1,null
50,1440p_flscr,1,null,null,2025-03-27_19:49:21,1305.9935264999804,formal_punish_MS,punish_FA,3,3,1,0.75,1.127842799993232,0,0,-1,null
50,1440p_flscr,1,null,null,2025-03-27_19:49:29,1313.1232349999773,formal_punish_MS,punish_FA,3,4,2,0.75,1.8022257999982685,1,1,2,null
50,1440p_flscr,1,null,null,2025-03-27_19:49:36,1320.3692398999992,formal_punish_MS,punish_FA,3,5,3,0.75,1.963697700004559,1,1,3,null
50,1440p_flscr,1,null,null,2025-03-27_19:49:44,1329.0487701999955,formal_punish_MS,punish_FA,3,6,4,0.75,3.4140214000071865,1,0,-1,null
50,1440p_flscr,1,null,null,2025-03-27_19:49:52,1337.035048299993,formal_punish_MS,punish_FA,3,7,2,0.75,2.102807399991434,0,0,-1,null
50,1440p_flscr,1,null,null,2025-03-27_19:50:00,1344.5979681999888,formal_punish_MS,punish_FA,3,8,5,0.75,2.0008938999962993,1,1,1,null
50,1440p_flscr,1,null,null,2025-03-27_19:50:07,1351.8122200999933,formal_punish_MS,punish_FA,3,9,6,0.75,1.9461818000127096,1,1,2,null
50,1440p_flscr,1,null,null,2025-03-27_19:50:15,1359.1232572000008,formal_punish_MS,punish_FA,3,10,7,0.75,2.033885900018504,1,1,2,null
50,1440p_flscr,1,null,null,2025-03-27_19:50:21,1365.5974173999857,formal_punish_MS,punish_FA,3,11,8,0.75,1.2410653999831993,1,1,1,null
50,1440p_flscr,1,null,null,2025-03-27_19:50:28,1372.7085267999792,formal_punish_MS,punish_FA,3,12,3,0.75,1.8604731999803334,0,0,-1,null
50,1440p_flscr,1,null,null,2025-03-27_19:50:35,1379.82071,formal_punish_MS,punish_FA,3,13,9,0.75,1.8534943999839015,1,1,3,null
50,1440p_flscr,1,null,null,2025-03-27_19:50:42,1386.4005390999955,formal_punish_MS,punish_FA,3,14,4,0.75,1.2153207999945153,0,0,-1,null
50,1440p_flscr,1,null,null,2025-03-27_19:50:50,1394.1080656999839,formal_punish_MS,punish_FA,3,15,5,0.75,2.4023902000044473,0,0,-1,null
